,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
21256,52324954.0,within an hour,1.0,1.0,True,0,True,True,Azcapotzalco,19.52817,-99.1936,Shared room,1,1.5,1.0,1.0,329.0,1,365,180,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.12
21266,52622855.0,within an hour,1.0,1.0,True,0,True,True,Gustavo A. Madero,19.52878,-99.19404,Shared room,1,1.0,1.0,1.0,329.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,6,0.0
21462,52622993.0,within an hour,1.0,1.0,True,0,True,True,Azcapotzalco,19.52844,-99.19425,Shared room,1,1.0,1.0,1.0,324.0,1,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.17
21480,30492862.0,within a day,1.0,0.0,False,1,True,False,Gustavo A. Madero,19.52559,-99.19063,Shared room,2,1.0,1.0,2.0,350.0,3,30,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21492,35483953.0,a few days or more,0.0,0.0,False,2,True,False,Iztapalapa,19.35648,-98.97814,Shared room,2,1.0,1.0,2.0,250.0,1,30,180,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,2,0.0
21518,48125596.0,unknown,0.0,0.0,False,1,True,False,Gustavo A. Madero,19.52025,-99.17275,Shared room,1,1.0,1.0,1.0,1300.0,1,10,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21551,38091490.0,unknown,0.0,0.0,False,1,True,False,Azcapotzalco,19.49825,-99.2307,Shared room,3,1.0,1.0,2.0,1200.0,1,2,90,1,0,0.0,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.03
21569,28343695.0,a few days or more,0.0,1.0,False,1,True,True,Gustavo A. Madero,19.5332,-99.1694,Shared room,2,1.0,1.0,1.0,223.0,1,30,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
21571,46948276.0,within an hour,1.0,0.0,False,1,True,True,Gustavo A. Madero,19.50459,-99.04702,Shared room,1,1.0,1.0,1.0,210.0,30,180,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
21635,1707386.0,unknown,0.0,0.0,False,1,True,False,Cuajimalpa de Morelos,19.41303,-99.26479,Shared room,2,1.0,1.0,2.0,1075.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
