ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
29034631,Unknown,NaN,NaN,False ,True ,True ,0,Ñuñoa,-33.45116,-70.62211,Private room,1,1,1,1,30000.00,5,30,180,0,0,,,,,,,,True ,1,
28862575,within an hour,1,1,False ,True ,True ,2,Vitacura,-33.38606,-70.5424,Entire home/apt,4,2.5,2,3,110000.00,9,30,0,2,0,5,5,5,5,5,5,5,True ,1,0.04
28863465,Unknown,,,,,,,Santiago,-33.4486,-70.64188,Entire home/apt,3,1,1,2,55351.00,2,1125,362,13,7,4.62,4.69,4.46,4.77,4.77,4.38,4.23,True ,1,0.31
28864090,within a day,1,0.3,True ,True ,True ,0,Santiago,-33.44466,-70.65669,Entire home/apt,2,1,1,1,45000.00,3,1125,325,3,3,5,5,4.67,5,5,5,5,False ,1,0.4
27908654,Unknown,NaN,NaN,FALSE,True ,True ,1,Ñuñoa,-33.45075,-70.62086,Shared room,1,1,1,1,30819.00,3,10,179,0,0,,,,,,,,False ,1,
28866811,within an hour,0.96,1,FALSE,True ,True ,4,Santiago,-33.43837,-70.6446,Entire home/apt,2,1,1,1,39286.00,1,1125,360,140,37,4.49,4.74,4.59,4.66,4.47,4.88,4.54,True ,4,3.08
27923293,within an hour,1,1,FALSE,True ,False ,1,Ñuñoa,-33.45391,-70.59518,Private room,2,1,1,1,10000.00,1,45,0,21,0,4.9,4.95,4.9,4.95,4.95,4.9,4.86,True ,1,0.45
28886713,Unknown,NaN,0,FALSE,True ,False ,2,Santiago,-33.43411,-70.65646,Private room,1,1.5,1,1,20000.00,1,1125,364,0,0,,,,,,,,False ,1,
28889866,a few days or more,0,NaN,FALSE,True ,False ,1,La Florida,-33.56312,-70.59701,Private room,2,1,1,1,28990.00,3,1125,88,0,0,,,,,,,,True ,1,
28891524,within an hour,0.9,0.82,FALSE,True ,True ,7,San Joaquín,-33.47862,-70.62402,Entire home/apt,2,1,1,1,32000.00,5,25,19,130,13,4.65,4.8,4.36,4.94,4.92,4.82,4.66,False ,3,2.88
28913285,within an hour,1,0.92,FALSE,True ,True ,4,Las Condes,-33.41988,-70.59748,Entire home/apt,3,1,1,2,66057.00,1,1125,364,10,1,4.8,4.9,4.8,5,5,5,4.7,False ,5,0.26
28913902,Unknown,NaN,NaN,FALSE,True ,False ,1,Lo Barnechea,-33.36121,-70.51508,Entire home/apt,7,3.5,4,7,170000.00,365,1000,210,0,0,,,,,,,,True ,1,
28913931,within an hour,1,0.92,FALSE,True ,True ,4,Las Condes,-33.42001,-70.59587,Entire home/apt,3,1,1,2,74846.00,1,180,365,35,19,4.49,4.77,4.46,4.89,4.86,4.94,4.23,True ,5,0.93
28935960,within an hour,0.9,0.39,FALSE,True ,True ,1,Santiago,-33.44006,-70.6444,Entire home/apt,2,1,,1,26857.00,7,40,80,17,4,4.81,4.94,4.63,4.81,4.81,5,4.88,False ,1,0.43
29049300,within an hour,0.65,1,FALSE,True ,True ,1,Providencia,-33.42045,-70.61223,Entire home/apt,2,1,1,1,35000.00,1,1125,243,351,89,4.39,4.6,4.55,4.75,4.35,4.95,4.45,True ,1,7.79
28936243,a few days or more,0,0,FALSE,True ,True ,1,La Florida,-33.52677,-70.5281,Private room,2,1,1,1,20000.00,2,1125,85,0,0,,,,,,,,False ,1,
28937442,Unknown,NaN,1,FALSE,True ,True ,3,Providencia,-33.44396,-70.60346,Private room,1,1,,1,12000.00,155,1125,89,4,0,5,5,5,5,5,5,5,False ,3,0.09
28939101,Unknown,NaN,NaN,FALSE,True ,True ,2,Providencia,-33.42706,-70.60883,Entire home/apt,6,2,2,4,117000.00,2,30,36,2,0,5,5,5,4.5,5,4.5,4.5,False ,2,0.05
28939564,within an hour,1,1,True ,True ,True ,2,Providencia,-33.42012,-70.60414,Entire home/apt,7,2,3,5,85000.00,2,1125,315,64,31,4.86,4.97,4.69,4.98,4.95,4.97,4.8,True ,2,1.43
28939812,Unknown,NaN,0.5,FALSE,True ,False ,1,Santiago,-33.43704,-70.64957,Entire home/apt,1,0,1,1,60000.00,4,1125,180,6,1,4.17,3.83,5,4.17,3.83,4.83,4.83,True ,1,0.14
28954136,Unknown,NaN,1,FALSE,True ,False ,1,La Cisterna,-33.53917,-70.66029,Private room,2,1,1,1,30000.00,1,90,89,0,0,,,,,,,,True ,1,
28955008,Unknown,NaN,NaN,FALSE,True ,True ,0,Santiago,-33.44,-70.64312,Private room,2,2.5,1,1,45000.00,3,1125,90,0,0,,,,,,,,True ,1,
29058013,a few days or more,0,0.17,FALSE,True ,False ,3,Ñuñoa,-33.43543,-70.58077,Entire home/apt,4,1.5,2,3,59900.00,3,1125,304,0,0,,,,,,,,False ,3,
29061607,a few days or more,0,0.17,FALSE,True ,False ,3,Ñuñoa,-33.43565,-70.58071,Private room,2,1.5,1,1,37767.00,2,1125,364,0,0,,,,,,,,False ,3,
