,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
5025,40616015.0,within an hour,1.0,0.97,False,True,True,0,Las Condes,-33.40118,-70.5393,Entire home/apt,2,1.0,1.0,1.0,60000,3.0,15.0,76,50.0,17,4.94,5.0,4.96,5.0,4.98,4.96,4.96,False,1,1.65
5026,39835575.0,Unknown,0.0,1.0,False,True,True,0,Las Condes,-33.42986,-70.57507,Private room,2,1.0,1.0,1.0,15779,2.0,30.0,0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.06
5027,40328278.0,within a day,0.75,0.57,False,True,False,1,Las Condes,-33.39991,-70.55371,Entire home/apt,2,1.0,1.0,2.0,28000,30.0,210.0,75,2.0,1,3.5,4.0,5.0,5.0,5.0,5.0,3.5,False,1,0.11
5028,40340330.0,within a few hours,0.9,0.96,False,True,True,1,Macul,-33.48564,-70.61961,Entire home/apt,2,1.0,1.0,1.0,24655,2.0,20.0,139,27.0,17,4.41,4.74,4.26,4.67,4.7,4.89,4.52,True,1,0.87
5029,40620882.0,within a few hours,1.0,0.67,False,True,True,0,Macul,-33.505604,-70.591049,Entire home/apt,3,2.0,2.0,2.0,35000,6.0,30.0,89,4.0,2,4.25,4.5,4.75,5.0,5.0,4.25,4.25,False,2,0.13
5030,40628681.0,within an hour,1.0,1.0,False,True,True,0,Las Condes,-33.38365,-70.53043,Private room,2,1.0,1.0,2.0,70000,2.0,30.0,356,9.0,8,4.89,4.89,5.0,5.0,4.89,5.0,4.89,True,3,0.43
5031,39842922.0,within an hour,0.98,1.0,True,True,True,2,Santiago,-33.43377,-70.65856,Entire home/apt,2,1.0,1.0,1.0,26000,1.0,30.0,322,225.0,113,4.81,4.9,4.85,4.92,4.91,4.89,4.84,True,4,7.05
5032,39856906.0,within an hour,1.0,0.73,False,True,True,9,Ñuñoa,-33.44723,-70.58078,Private room,1,2.0,1.0,1.0,12000,4.0,30.0,350,4.0,3,5.0,5.0,5.0,5.0,5.0,4.75,5.0,False,7,0.29
5033,40629542.0,within an hour,1.0,1.0,False,True,True,0,Las Condes,-33.38222,-70.53064,Private room,5,2.0,2.0,3.0,95000,2.0,30.0,315,10.0,8,4.8,4.8,4.8,4.9,5.0,5.0,4.7,True,3,0.33
5034,40635539.0,a few days or more,0.44,1.0,False,True,True,13,Santiago,-33.44011,-70.63444,Private room,2,1.0,1.0,1.0,77714,1.0,30.0,193,12.0,0,4.42,4.58,4.75,4.83,4.83,4.5,4.42,True,13,0.4
