VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
4903,39405679,a few days or more,0,0,False,True,False,0,Santiago,-33.43502,-70.6557,Shared room,2,0,1,1,15000,1,5,180,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4915,38948222,a few days or more,0,0,False,True,False,2,Providencia,-33.43416,-70.62333,Shared room,2,2,1,2,25536,1,30,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0
4960,40139463,a few days or more,0,0,False,True,False,0,Independencia,-33.42047,-70.66722,Shared room,3,0,1,2,30000,1,7,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
5078,41078098,within a day,1,0.78,False,True,False,0,Santiago,-33.44007,-70.66278,Shared room,4,0,1,4,75000,1,30,269,1,1,5,5,5,5,5,5,5,False,3,0.32
5128,40500576,a few days or more,0,1,False,True,False,1,Santiago,-33.43552,-70.65824,Shared room,1,1,1,1,8805,1,30,365,1,1,1,1,1,1,1,1,1,True,1,0.27
5146,40512945,a few days or more,0,0,False,True,False,1,San Miguel,-33.50789,-70.65963,Shared room,2,1,1,2,15000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
5344,42226281,Unknown,0,0,False,True,True,0,Santiago,-33.45004,-70.64282,Shared room,1,0,1,0,19050,1,4,90,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
5406,42378561,a few days or more,0,0,False,True,False,0,La Florida,-33.51304,-70.53626,Shared room,2,0,1,2,9000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
5543,43266193,a few days or more,0,0,False,True,False,0,Independencia,-33.42729,-70.65866,Shared room,1,0,1,0,8589,5,7,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
5698,45658730,a few days or more,0,0,False,True,False,1,Santiago,-33.43561,-70.66404,Shared room,1,1,1,2,14000,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
6042,48916285,a few days or more,0,0,False,True,True,0,San Joaquín,-33.47698,-70.6226,Shared room,2,0,1,0,20000,2,30,87,1,0,5,5,5,5,5,5,5,True,1,0.07
6167,50244035,within an hour,1,0.62,False,True,False,1,Las Condes,-33.40343,-70.5666,Shared room,2,1,1,3,33429,2,30,8,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,2,0
6542,52352478,Unknown,0,0,False,True,True,0,La Cisterna,-33.53956,-70.66005,Shared room,1,0,1,1,15846,1,365,65,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
6555,52947233,within an hour,0.95,0.89,False,True,True,39,Providencia,-33.43205,-70.62044,Shared room,6,39,1,0,10000,1,30,365,8,8,4.25,4.25,3.75,3.63,3.63,4.63,4.25,False,39,1.16
6563,52981119,within an hour,0.93,0.97,False,True,True,16,Santiago,-33.44125,-70.63434,Shared room,1,16,1,0,9990,1,30,339,1,1,4,5,5,5,5,5,5,True,16,0.13
6582,53027132,within an hour,0.93,0.97,False,True,True,16,Providencia,-33.43974,-70.63301,Shared room,1,16,1,6,9990,1,30,361,13,13,4.62,4.62,4.69,4.69,4.62,4.77,4.77,True,16,1.82
6645,53449823,within an hour,1,1,False,True,True,0,Estación Central,-33.45238,-70.69737,Shared room,4,0,1,1,45000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
6969,54271202,within an hour,0.95,0.89,False,True,True,39,Providencia,-33.43259,-70.62201,Shared room,6,39,1,1,12000,1,365,365,2,2,4,4,4.5,4,3.5,4.5,4.5,False,39,0.39
7045,54047574,within an hour,0.96,0.86,False,True,True,2,Providencia,-33.43356,-70.61658,Shared room,3,2,1,4,51429,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,43,0
7180,5.81989e+17,within an hour,0.95,0.89,False,True,True,39,Providencia,-33.43367,-70.61713,Shared room,4,39,1,4,15000,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,39,0
7218,5.73751e+17,within an hour,0.95,1,False,True,True,8,Providencia,-33.43391,-70.61684,Shared room,2,8,1,1,22500,1,365,362,12,12,4.83,4.92,4.92,4.92,4.92,4.92,4.83,True,8,3.83
7219,5.73788e+17,within an hour,0.95,1,False,True,True,8,Providencia,-33.432789,-70.617371,Shared room,2,8,1,1,22500,1,365,356,15,15,4.47,4.67,4.27,4.6,4.67,4.93,4.33,True,8,5
7220,5.73809e+17,within an hour,0.95,1,False,True,True,8,Providencia,-33.43164,-70.61807,Shared room,2,8,1,1,22500,1,365,365,8,8,4.88,4.25,4.88,5,4.88,5,4.88,True,8,2.16
7323,5.86989e+17,within an hour,1,1,False,True,True,0,Providencia,-33.42825,-70.61957,Shared room,2,0,1,2,18000,1,30,325,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
7349,5.87766e+17,within an hour,0.7,1,False,True,True,2,Providencia,-33.44523,-70.62627,Shared room,1,2,1,1,20000,1,30,365,3,3,5,5,4.67,5,5,5,4.67,True,2,1.67
7413,6.00569e+17,within an hour,0.88,0.76,False,True,False,0,Santiago,-33.43927,-70.64921,Shared room,8,0,1,8,16000,1,365,365,1,1,1,1,1,4,5,5,1,True,37,0.48
7490,6.03601e+17,a few days or more,0,0,False,False,True,0,Independencia,-33.409241,-70.657707,Shared room,2,0,1,1,30000,30,365,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
7511,5.92822e+17,within an hour,0.95,0.89,False,True,True,39,Santiago,-33.43926,-70.6494,Shared room,8,39,1,8,15000,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,39,0
7516,6.03909e+17,within a day,0.7,0.83,False,True,False,2,Santiago,-33.464066,-70.651924,Shared room,2,2,1,3,25000,1,365,365,1,1,5,5,5,5,5,5,5,True,3,1
7548,6.05019e+17,within an hour,0.96,0.86,False,True,True,2,Providencia,-33.43046,-70.62052,Shared room,4,2,1,6,20000,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,43,0
7551,5.9437e+17,within an hour,1,0.94,False,True,True,0,Santiago,-33.43455,-70.6565,Shared room,1,0,1,1,9000,1,6,64,9,9,4.89,4.89,4.78,4.89,5,5,5,True,1,3.46
7697,5.99808e+17,within an hour,0.88,0.76,False,True,False,0,Santiago,-33.43914,-70.65072,Shared room,8,0,1,8,16000,1,365,365,4,4,4.5,4.75,4.5,5,4.75,5,4.5,True,37,1.76
7845,6.26719e+17,within an hour,1,0,False,False,True,0,Maipú,-33.49803,-70.75252,Shared room,1,0,1,2,8000,1,30,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
7906,6.34932e+17,within a day,0.7,0.83,False,True,False,2,Santiago,-33.464397,-70.652046,Shared room,2,2,1,2,25000,1,365,362,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,3,0
7920,6.35331e+17,within an hour,0.88,0.76,False,True,False,0,Santiago,-33.4377,-70.65144,Shared room,6,0,1,6,12714,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,37,0
7923,6.35339e+17,within an hour,0.88,0.76,False,True,False,0,Santiago,-33.43767,-70.65151,Shared room,10,0,1,10,13143,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,37,0
7970,6.3608e+17,within an hour,0.88,0.76,False,True,False,0,Providencia,-33.43069,-70.62184,Shared room,4,0,1,4,12714,1,365,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,37,0
7972,6.36155e+17,within an hour,0.96,0.86,False,True,True,2,Santiago,-33.43805,-70.65073,Shared room,6,2,1,6,12714,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,43,0
7979,6.36168e+17,within an hour,0.96,0.86,False,True,True,2,Santiago,-33.43747,-70.65103,Shared room,10,2,1,10,12714,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,43,0
7983,6.29816e+17,within an hour,1,1,False,True,True,0,Ñuñoa,-33.45026,-70.63125,Shared room,10,0,1,17,10657,1,365,363,1,1,5,5,5,5,5,5,5,False,1,1
7989,6.36238e+17,within an hour,0.96,0.86,False,True,True,2,Santiago,-33.43912,-70.65114,Shared room,8,2,1,8,12714,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,43,0
7994,6.36247e+17,within an hour,0.96,0.86,False,True,True,2,Santiago,-33.43952,-70.65,Shared room,8,2,1,8,12714,1,365,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,43,0
8034,23293208,Unknown,0,0,False,True,False,1,La Florida,-33.55823,-70.5438,Shared room,1,1,1,1,20000,1,7,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
8051,14093932,Unknown,0,1,False,True,False,3,La Florida,-33.56334,-70.54924,Shared room,2,3,1,1,15000,5,30,88,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0
8150,6.49823e+17,Unknown,0,0,False,True,True,0,Conchalí,-33.3864523,-70.6785014,Shared room,2,0,1,2,24627,1,30,362,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
