VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1045,12586051,within an hour,1,1,False,True,True,36,Providencia,-33.42523,-70.61702,Entire home/apt,3,36,1,2,40000,2,30,348,145,62,4.56,4.72,4.44,4.86,4.81,4.94,4.6,True,12,1.94
1046,11226656,within an hour,1,1,True,True,True,2,Santiago,-33.4321,-70.65925,Entire home/apt,3,2,1,1,35571,2,90,123,120,21,4.94,4.92,4.96,4.9,4.94,4.79,4.87,False,1,1.58
1047,11237285,a few days or more,0,0,False,True,False,2,Las Condes,-33.42469,-70.58336,Entire home/apt,4,2,1,1,83534,3,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,2,0
1048,11948340,within a few hours,1,0.73,False,True,True,2,Lo Barnechea,-33.3502,-70.30894,Entire home/apt,11,2,4,12,431464,3,30,337,15,1,4.73,4.93,4.07,5,5,4.93,4.27,False,2,0.21
1049,11991191,Unknown,0,0,False,True,True,1,Santiago,-33.44136,-70.65852,Entire home/apt,2,1,1,1,39624,2,90,264,3,0,5,5,5,5,5,4.5,5,True,1,0.04
1051,11992525,Unknown,0,0,False,True,True,12,Santiago,-33.44838,-70.64826,Entire home/apt,3,12,1,2,70443,2,30,0,16,0,4.69,4.88,4.81,4.75,5,4.81,4.81,True,12,0.22
1053,12593019,within an hour,0.8,0.88,False,True,True,8,Las Condes,-33.41137,-70.56723,Entire home/apt,4,8,1,2,57235,7,30,356,49,8,4.51,4.55,4.37,4.65,4.55,4.83,4.65,True,8,0.68
1054,12604399,Unknown,0,0,False,True,True,1,Santiago,-33.44778,-70.63435,Entire home/apt,3,1,2,2,60000,5,30,179,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1055,11253241,within an hour,1,0.99,True,True,True,4,Recoleta,-33.42481,-70.64057,Entire home/apt,5,4,3,4,87000,1,30,332,4,48,4.76,4.9,4.53,4.94,4.94,4.75,4.76,False,4,4.82
1057,11998806,within an hour,0.72,1,True,True,True,3,Santiago,-33.44299,-70.64468,Entire home/apt,2,3,1,1,35000,1,60,323,102,17,4.87,4.88,4.77,4.96,4.91,4.89,4.81,True,3,1.37
1058,12609162,within an hour,1,1,True,True,True,1,San Joaquín,-33.47152,-70.62515,Entire home/apt,3,1,2,3,28714,4,90,47,120,14,4.9,4.93,4.88,4.98,5,4.48,4.89,True,1,1.67
1061,12629195,Unknown,0,0.75,True,True,True,1,Vitacura,-33.39837,-70.5741,Entire home/apt,2,1,2,2,35000,30,365,186,8,2,4.88,4.88,4.75,4.88,5,5,4.88,False,1,0.17
1067,11297319,a few days or more,0,0,False,True,False,1,Las Condes,-33.38562,-70.53528,Entire home/apt,7,1,4,5,101262,15,360,358,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1068,11298899,a few days or more,0,1,False,True,False,2,Santiago,-33.46152,-70.65262,Entire home/apt,3,2,2,2,35000,4,30,365,1,0,2,1,1,4,3,4,4,False,1,0.01
1069,12005086,within an hour,1,1,False,True,True,1,Santiago,-33.44296,-70.6585,Entire home/apt,5,1,2,5,60000,2,30,152,90,7,4.98,4.99,4.98,4.98,4.99,4.99,4.9,True,1,1.25
1070,12005638,Unknown,0,0,False,True,True,1,Lo Barnechea,-33.34726,-70.29038,Entire home/apt,6,1,3,6,396242,3,30,365,6,0,5,5,5,5,5,5,4.83,False,1,0.08
1071,12631368,Unknown,0,0,False,True,True,12,Santiago,-33.45005,-70.64976,Entire home/apt,5,12,2,4,35222,2,30,0,42,0,4.79,4.9,4.76,4.95,4.98,4.88,4.83,True,12,0.56
1072,12643129,within an hour,1,1,True,True,True,1,Las Condes,-33.39977,-70.57392,Entire home/apt,2,1,1,1,35000,6,30,197,47,12,4.83,4.83,4.83,4.89,4.89,4.98,4.93,True,1,0.65
1074,12022329,Unknown,0,1,False,True,False,1,Lo Barnechea,-33.29695,-70.24734,Entire home/apt,5,1,3,5,308188,4,15,274,10,0,4.33,4.17,4.67,4.5,4.17,5,4.33,True,1,0.14
