,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
3305,2336651.0,within an hour,1.0,1.0,False,4.0,True,True,Leblon,-22.98291,-43.22652,Hotel room,2,1.0,1.0,1.0,1492,1,90,365,10,0,5.0,5.0,5.0,4.9,5.0,5.0,4.7,False,3,0.1
3430,37087527.0,within an hour,1.0,1.0,False,2.0,True,True,JacarepaguÃ¡,-22.97388,-43.41367,Hotel room,2,1.0,2.0,1.0,200,2,90,210,32,8,4.75,4.81,4.59,4.81,4.69,4.56,4.59,True,13,0.94
4041,18807091.0,within a few hours,0.96,0.78,True,15.0,True,True,Santa Teresa,-22.91662,-43.18259,Hotel room,2,1.0,1.0,1.0,579,3,30,0,17,0,4.88,4.82,4.82,4.94,4.88,4.94,5.0,True,10,0.29
4155,43036115.0,unknown,0.0,0.0,False,0.0,True,True,Copacabana,-22.98298,-43.19063,Hotel room,0,2.0,2.0,0.0,0,1,365,0,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
4337,30392586.0,a few days or more,0.33,0.5,False,2.0,True,False,Botafogo,-22.947,-43.18508,Hotel room,4,1.0,1.0,3.0,220,1,365,51,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.07
4723,2515976.0,within an hour,1.0,0.99,True,16.0,True,True,Santa Teresa,-22.9169,-43.18123,Hotel room,4,1.0,2.0,2.0,197,1,1125,351,145,20,4.72,4.73,4.85,4.79,4.74,4.58,4.62,True,15,1.47
5254,10626211.0,within an hour,0.85,1.0,False,2.0,True,True,Leblon,-22.98418,-43.222343,Hotel room,6,2.0,2.0,2.0,479,3,1124,264,117,31,4.7,4.77,4.56,4.9,4.69,4.97,4.57,True,1,1.54
5679,38865363.0,within an hour,1.0,1.0,False,7.0,True,True,Centro,-22.91508,-43.17807,Hotel room,2,1.0,1.0,1.0,563,1,1125,249,29,16,4.72,4.79,4.66,4.66,4.59,4.76,4.48,True,8,1.67
5728,24933756.0,within an hour,1.0,1.0,False,45.0,True,True,Copacabana,-22.96407,-43.17472,Hotel room,5,1.0,1.0,3.0,436,3,90,143,4,3,4.5,4.5,5.0,4.75,5.0,5.0,4.75,True,53,0.18
6359,34569396.0,within a day,0.67,0.67,False,5.0,True,False,MaracanÃ£,-22.91362,-43.23129,Hotel room,4,1.0,1.0,4.0,85,1,1125,362,5,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,6,0.13
6992,8465751.0,within an hour,1.0,1.0,False,6.0,True,True,EstÃ¡cio,-22.91654,-43.2068,Hotel room,2,1.0,1.0,1.0,229,1,1125,0,4,2,4.75,4.5,5.0,5.0,5.0,5.0,4.75,True,6,0.22
7099,35602225.0,within an hour,1.0,0.99,False,4.0,True,True,Centro,-22.912781,-43.191109,Hotel room,5,1.0,1.0,4.0,481,1,1125,344,4,4,4.75,5.0,5.0,5.0,5.0,4.5,4.0,True,4,0.35
