id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,Private room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
2614230,a few days or more,0.40,0.07,False,3,True,True,Copacabana,-22.9671,-43.17747,Entire home/apt,8,2,3,10,$609.00,2,90,362,8,0,4.43,4.29,3.71,4.57,4.57,4.86,4.14,False,3,0.08
30561994,within a few hours,1.00,0.85,False,2,True,True,Cosme Velho,-22.93478,-43.19346,Entire home/apt,4,1,1,3,"$1,000.00",3,1125,179,2,0,5,5,5,5,5,5,4.5,False,1,0.05
2677556,within an hour,1.00,0.76,True,4,True,True,Botafogo,-22.94497,-43.18252,Entire home/apt,2,1,1,1,$135.00,4,1125,20,71,3,4.9,4.9,4.96,4.99,5,4.93,4.65,False,5,0.73
6.14E+17,within an hour,1.00,0.87,False,0,True,True,Centro,-22.90951,-43.17817,Entire home/apt,2,0.5,1,1,$139.00,2,10,256,2,2,5,5,5,5,5,5,5,True,2,1.67
2535302,unknown,0.00,0.00,False,1,True,False,Gávea,-22.97191,-43.22641,Entire home/apt,4,2.5,2,2,"$4,130.00",5,1125,365,0,0,,,,,,,,False,1,
9136756,within a day,0.66,0.44,False,71,True,True,Barra da Tijuca,-22.97385,-43.39446,Entire home/apt,6,1,2,6,$380.00,1,30,360,7,0,4.71,4.71,4.86,5,5,4.86,4.57,False,73,0.1
6.15E+17,within an hour,1.00,0.83,False,1,True,True,Recreio dos Bandeirantes,-23.02763,-43.47636,Private room,2,2,1,1,$90.00,1,365,51,4,4,4.5,5,5,4,5,5,5,False,1,2.67
5.59E+17,within an hour,1.00,0.90,False,0,True,True,Botafogo,-22.94703,-43.1858,Entire home/apt,2,1,1,1,$170.00,1,365,159,11,11,5,5,5,5,5,5,5,True,1,2.89
5.67E+17,within a few hours,0.92,1.00,False,1,True,True,Camorim,-22.97566,-43.41572,Entire home/apt,2,1,1,1,$225.00,1,365,344,1,1,4,5,4,5,5,5,5,False,8,0.27
45329462,within an hour,1.00,0.95,False,3,True,True,Botafogo,-22.9574,-43.1945,Private room,2,2,1,1,$90.00,2,89,353,9,6,4.78,5,4.67,5,5,4.78,4.78,True,3,0.5
4383906,within a day,1.00,0.00,False,2,True,True,Barra da Tijuca,-22.97379,-43.39476,Entire home/apt,3,2,2,3,"$20,000.00",7,1125,365,0,0,,,,,,,,False,2,
5.83E+17,within a day,0.91,1.00,False,3,True,True,Jacarepaguá,-22.96871,-43.3791,Entire home/apt,16,2,,1,"$2,800.00",1,365,365,0,0,,,,,,,,True,3,
922950,within a day,0.80,0.34,False,2,True,True,Barra da Tijuca,-23.0008,-43.35923,Entire home/apt,9,3,3,7,$429.00,2,1125,323,62,2,4.75,4.82,4.5,4.97,4.97,4.92,4.55,False,2,0.56
13541297,within a day,0.78,0.40,False,1,True,True,Barra da Tijuca,-22.97408,-43.38272,Entire home/apt,6,1,2,2,"$1,291.00",4,1125,356,12,0,4.82,5,4.91,4.82,4.91,4.91,4,True,1,0.17
5.64E+17,within an hour,1.00,0.44,False,0,True,True,Barra da Tijuca,-23.00341,-43.30976,Entire home/apt,6,2,2,3,$500.00,2,5,292,1,1,5,5,5,5,5,5,5,False,1,0.27
22669630,unknown,0.00,0.00,False,1,True,False,Recreio dos Bandeirantes,-23.02409,-43.47444,Private room,1,1,,1,$120.00,15,1125,180,0,0,,,,,,,,True,1,
31804413,a few days or more,0.00,0.00,False,2,True,True,Cosme Velho,-22.93983,-43.19562,Private room,2,1,1,1,$200.00,3,1125,268,0,0,,,,,,,,True,2,
13949860,a few days or more,0.00,0.00,False,1,True,False,Recreio dos Bandeirantes,-23.01884,-43.47601,Entire home/apt,6,3,3,3,"$1,200.00",1,1125,356,0,0,,,,,,,,False,1,
14261829,unknown,0.00,0.00,False,1,True,False,Barra da Tijuca,-23.00013,-43.36113,Entire home/apt,4,3,4,4,"$1,500.00",13,90,362,0,0,,,,,,,,True,1,
