,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
18002,44225491.0,within a day,0.75,1.0,False,0.0,True,True,Ipanema,-22.98625,-43.20263,Shared room,3,0.0,1.0,5.0,305,1,365,246,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,10,0.0
18098,32492267.0,within a day,0.8,1.0,False,3.0,True,True,Copacabana,-22.96753,-43.1886,Shared room,2,1.0,1.0,1.0,250,3,7,55,3,2,5.0,5.0,5.0,5.0,5.0,5.0,4.67,False,6,0.07
18253,46538150.0,within an hour,0.83,0.86,False,9.0,True,True,Copacabana,-22.9716,-43.18945,Shared room,2,1.0,1.0,1.0,65,1,1125,363,6,1,4.33,4.17,4.33,5.0,5.0,5.0,4.67,False,10,0.32
18397,2228471.0,a few days or more,0.33,0.0,False,4.0,True,False,Ipanema,-22.9854,-43.19874,Shared room,2,1.0,1.0,2.0,500,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,3,0.0
18434,53907310.0,within a day,0.5,1.0,False,0.0,True,True,Copacabana,-22.96324,-43.17433,Shared room,2,1.0,1.0,1.0,200,1,1125,180,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.17
18451,47219896.0,within a day,0.5,1.0,False,4.0,True,True,Copacabana,-22.98571,-43.19035,Shared room,4,2.5,1.0,7.0,692,3,31,81,32,13,4.56,4.66,3.63,4.63,4.56,5.0,4.75,False,1,1.81
18496,13844573.0,within an hour,1.0,0.81,True,2.0,True,True,Copacabana,-22.97993,-43.19039,Shared room,1,1.0,1.0,1.0,80,5,15,341,16,3,4.94,4.63,4.81,4.94,4.81,4.94,4.81,False,1,0.3
18630,2370137.0,unknown,0.0,0.0,False,1.0,True,False,Centro,-22.89889,-43.18046,Shared room,2,1.0,1.0,4.0,286,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
18709,5430206.0,within an hour,1.0,0.75,False,5.0,True,True,SÃ£o CristÃ³vÃ£o,-22.90246,-43.22566,Shared room,5,2.0,1.0,6.0,207,1,10,365,8,0,5.0,4.86,5.0,5.0,5.0,4.33,5.0,False,5,0.09
18710,13879989.0,unknown,0.0,0.0,False,1.0,True,False,SÃ£o CristÃ³vÃ£o,-22.89993,-43.23033,Shared room,5,1.0,1.0,4.0,591723,6,8,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
18750,35913272.0,unknown,0.0,0.0,False,1.0,True,False,Santa Cruz,-22.93925,-43.69332,Shared room,2,1.0,1.0,2.0,5000,5,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
18758,17135892.0,unknown,0.0,0.0,False,1.0,True,False,Santa Cruz,-22.94509,-43.67394,Shared room,4,1.0,1.0,4.0,206,4,20,365,1,0,0.0,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.02
18793,30152650.0,within an hour,1.0,1.0,False,1.0,True,False,Ramos,-22.84737,-43.25117,Shared room,1,1.0,1.0,1.0,50,1,30,364,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
18797,53920692.0,unknown,0.0,0.67,False,0.0,True,True,Bonsucesso,-22.86565,-43.24799,Shared room,8,2.0,1.0,7.0,60,1,40,179,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,1,0.3
18806,9412425.0,within an hour,1.0,0.86,True,15.0,True,True,Curicica,-22.94821,-43.38566,Shared room,5,0.0,1.0,5.0,120,1,30,177,16,6,5.0,4.94,4.88,4.94,4.94,4.81,5.0,True,16,0.22
18902,39105544.0,unknown,0.0,0.0,False,0.0,True,False,JacarepaguÃ¡,-22.92644,-43.43036,Shared room,4,1.0,1.0,1.0,400,2,4,90,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
18908,14153501.0,within a day,0.9,1.0,False,11.0,True,True,JacarepaguÃ¡,-22.96293,-43.40104,Shared room,3,1.0,1.0,3.0,120,2,1125,357,6,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,11,0.08
18938,23877869.0,a few days or more,0.0,0.0,False,1.0,True,False,Pavuna,-22.78588,-43.36536,Shared room,5,1.0,1.0,1.0,41,2,30,364,1,0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,False,1,0.04
18945,19165176.0,unknown,0.0,0.0,False,1.0,True,False,Pavuna,-22.8034,-43.38749,Shared room,1,2.0,1.0,1.0,258,2,1125,90,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
18960,41532220.0,unknown,0.0,0.0,False,0.0,True,False,Anchieta,-22.81656,-43.38878,Shared room,2,1.5,1.0,2.0,800,3,5,90,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.0
18997,14251482.0,a few days or more,0.0,0.0,False,2.0,True,False,Freguesia (JacarepaguÃ¡),-22.94682,-43.35087,Shared room,3,1.0,1.0,3.0,320,1,1125,365,1,0,0.0,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.03
18998,39476866.0,unknown,0.0,0.0,False,2.0,True,True,Anil,-22.96334,-43.33598,Shared room,4,1.0,1.0,2.0,99,15,30,363,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
