,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19489,5.99e+17,within an hour,0.89,0.0,False,1,True,False,Benito JuÃ¡rez,19.39466,-99.18349,Private room,1,1.0,1.0,1.0,450.0,1,365,358,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,False,1,0.0
19494,6.04e+17,within an hour,1.0,0.96,True,23,True,True,CuauhtÃ©moc,19.41434,-99.15862,Private room,2,4.0,1.0,1.0,800.0,1,365,364,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,13,1.0
19495,6.04e+17,within a day,0.8,1.0,False,1,True,True,Ãlvaro ObregÃ³n,19.37221,-99.26632,Private room,2,1.0,1.0,1.0,390.0,1,365,360,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19499,6.04e+17,within an hour,1.0,0.96,True,23,True,True,CuauhtÃ©moc,19.41434,-99.15871,Private room,2,1.0,1.0,1.0,1200.0,1,365,364,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,13,0.0
19506,5.99e+17,within an hour,0.99,0.99,True,13,True,True,CuauhtÃ©moc,19.406693,-99.170601,Private room,2,2.5,1.0,1.0,374.0,1,60,135,9,9,4.78,4.78,4.89,4.78,4.78,5.0,4.67,True,8,3.7
19509,5.99e+17,within an hour,0.99,0.99,True,13,True,True,CuauhtÃ©moc,19.406693,-99.170601,Private room,2,2.5,1.0,1.0,384.0,1,60,156,9,9,4.89,4.89,4.78,5.0,5.0,5.0,5.0,True,8,3.65
19512,6.05e+17,within an hour,1.0,1.0,False,24,True,True,Miguel Hidalgo,19.43315,-99.181,Private room,2,1.0,1.0,1.0,467.0,1,365,174,7,7,4.57,4.86,5.0,5.0,5.0,4.86,4.57,True,25,3.23
19513,5.99e+17,within an hour,1.0,1.0,False,0,True,False,Azcapotzalco,19.46067,-99.16885,Private room,2,1.0,1.0,1.0,1050.0,2,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.79
19521,6.04e+17,within an hour,1.0,0.97,False,3,True,True,CoyoacÃ¡n,19.304108,-99.180862,Private room,2,1.0,1.0,2.0,202.0,1,30,169,6,6,4.83,5.0,5.0,4.83,4.83,5.0,4.83,True,1,3.27
19523,6.05e+17,within a day,0.6,0.33,False,0,True,False,CoyoacÃ¡n,19.31837,-99.12697,Private room,1,1.0,1.0,1.0,299.0,1,28,362,1,1,4.0,4.0,5.0,5.0,4.0,5.0,4.0,False,1,0.53
19527,6.05e+17,within an hour,1.0,1.0,False,1,True,False,Miguel Hidalgo,19.44745,-99.16552,Private room,2,1.0,1.0,1.0,480.0,1,10,90,1,1,4.0,4.0,5.0,4.0,4.0,5.0,4.0,True,1,0.45
19528,6.05e+17,within an hour,1.0,1.0,False,0,True,True,CuauhtÃ©moc,19.40751457,-99.17829132,Private room,2,1.0,1.0,1.0,650.0,1,1125,142,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,4.0
19529,6.04e+17,within an hour,1.0,0.44,False,0,True,True,Ãlvaro ObregÃ³n,19.37393,-99.21628,Private room,1,1.0,1.0,1.0,355.0,1,1125,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,3,0.0
19530,6.04e+17,within an hour,1.0,1.0,True,57,True,True,Miguel Hidalgo,19.43045,-99.1748,Private room,2,1.0,1.0,1.0,706.0,1,30,80,17,17,4.94,5.0,5.0,4.82,5.0,4.94,4.94,True,45,7.39
