id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
48097415,N/A,N/A,1,f,0,t,f,Benito Juárez,19.36334,-99.16433,Entire home/apt,6,2,3,3,"$2,000.00",365,365,365,0,0,,,,,,,,t,2,
47972088,N/A,N/A,N/A,f,4,t,f,Miguel Hidalgo,19.40202,-99.18433,Private room,2,1,1,1,$650.00,1,6,365,3,2,4.33,3.67,4.67,5,4.33,4.33,4.33,f,4,0.19
48106879,within an hour,0.99,0.98,f,62,t,t,Miguel Hidalgo,19.43862,-99.18059,Entire home/apt,2,1,,1,"$1,195.00",5,60,6,8,8,4.75,4.75,4.5,4.88,5,4.88,4.63,f,62,0.69
48193014,within an hour,1,0.99,t,266,t,t,Cuauhtémoc,19.42763,-99.16051,Entire home/apt,3,2,1,1,"$1,514.00",1,365,238,37,31,4.57,4.57,4.84,4.73,4.57,4.95,4.62,t,128,2.28
47972977,within an hour,1,0.69,f,0,t,t,Miguel Hidalgo,19.43453,-99.185013,Entire home/apt,6,2.5,3,3,"$3,000.00",2,365,353,2,2,5,4.5,4.5,5,5,5,4.5,f,4,0.35
47975280,within an hour,1,0.91,f,1,t,f,Cuauhtémoc,19.43948,-99.14073,Entire home/apt,4,2,2,2,"$2,000.00",1,1125,358,5,5,4.4,4.8,4.2,5,5,5,4.4,t,1,0.62
47975473,within an hour,1,1,t,8,t,t,Tlalpan,19.19932,-99.13446,Entire home/apt,8,3,2,4,"$6,200.00",1,60,365,2,0,3,3,2.5,3,5,3,3.5,t,16,0.12
47980346,within an hour,1,1,f,2,t,t,Miguel Hidalgo,19.42858,-99.19303,Private room,1,1,1,1,$519.00,1,1125,365,14,14,4.5,4.57,4.43,4.93,4.93,5,4.21,t,4,1.83
47980651,within an hour,0.96,0.97,f,11,t,t,Cuauhtémoc,19.43812,-99.13676,Private room,2,1,1,1,$300.00,1,1125,177,30,28,4.7,4.73,4.7,4.9,4.87,4.5,4.7,t,11,2.2
47981624,within an hour,1,1,t,17,t,t,Cuauhtémoc,19.43584,-99.1435,Entire home/apt,4,1,1,2,$828.00,1,1125,143,48,43,4.83,4.83,4.83,4.81,4.88,4.98,4.79,t,14,2.91
48271449,within an hour,1,0.99,f,50,t,t,Cuauhtémoc,19.42192,-99.14171,Entire home/apt,5,1,2,3,$659.00,2,1125,332,27,18,4.52,4.56,4.7,4.67,4.52,4.67,4.59,f,39,1.67
48195116,within an hour,1,0.95,t,0,t,t,Benito Juárez,19.402342,-99.140335,Private room,2,1,1,2,$501.00,2,20,180,23,23,4.91,4.91,4.87,4.96,5,4.91,4.96,f,3,2.96
48195263,within an hour,1,0.95,t,0,t,t,Benito Juárez,19.402342,-99.140335,Private room,2,1,1,2,$584.00,2,20,170,18,17,5,5,5,5,5,5,5,f,3,1.14
48195373,within an hour,1,0.95,t,0,t,t,Benito Juárez,19.402342,-99.140335,Private room,2,1,1,2,$667.00,2,25,177,13,11,5,5,5,5,5,5,4.92,f,3,0.82
48196774,within a day,0.9,0.96,t,2,t,t,Cuauhtémoc,19.42299,-99.16423,Entire home/apt,5,2,2,3,"$2,109.00",2,1125,324,27,24,4.85,4.93,4.93,4.7,4.81,5,4.85,f,2,2.12
48198254,within an hour,0.93,0.98,f,6,t,f,Coyoacán,19.34653,-99.15972,Private room,2,1,1,1,"$2,500.00",1,365,347,3,2,4,4.67,5,4,4.33,4.67,4,t,7,0.22
48106966,within an hour,0.99,0.98,f,62,t,t,Miguel Hidalgo,19.43862,-99.18059,Entire home/apt,2,1,,1,"$1,195.00",5,60,7,9,5,4.56,4.67,4.33,5,4.44,4.56,4.11,f,62,0.58
48106994,a few days or more,0,N/A,f,0,t,t,Cuauhtémoc,19.417,-99.16642,Entire home/apt,4,1,2,2,"$20,193.00",1,30,365,0,0,,,,,,,,t,1,
48107020,within an hour,0.99,0.98,f,62,t,t,Miguel Hidalgo,19.43862,-99.18059,Entire home/apt,2,1,,1,"$1,195.00",5,60,5,10,8,4.8,4.9,4.8,4.9,4.5,5,4.9,f,62,0.77
48271865,within an hour,1,0.89,t,3,t,t,Azcapotzalco,19.46981,-99.14586,Entire home/apt,2,1,2,2,$650.00,2,300,142,3,3,5,5,5,5,5,5,5,f,4,0.25
48107072,within an hour,0.99,0.98,f,62,t,t,Miguel Hidalgo,19.43862,-99.18059,Entire home/apt,2,1,,1,"$1,095.00",5,60,0,9,9,3.44,4,4,4.22,3.89,4.44,3.89,f,62,0.76
48200655,within an hour,1,1,f,29,t,f,Cuauhtémoc,19.41027,-99.17061,Entire home/apt,7,3,4,5,"$2,686.00",2,1125,310,56,43,4.7,4.63,4.75,4.91,4.84,4.98,4.68,t,16,3.51
48200775,within an hour,1,1,f,0,t,f,Benito Juárez,19.3624,-99.17165,Entire home/apt,6,3.5,3,3,"$1,900.00",4,20,81,11,10,4.55,4.55,4.18,4.82,4.45,4.82,4.64,f,1,0.69
