,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1935,13394694.0,within a day,0.6,0.67,False,0.0,True,True,Leme,-22.96397,-43.17271,Entire home/apt,2,1.0,1.0,1.0,250,2,1125,90,2,2,4.0,4.0,4.5,4.5,5.0,5.0,4.5,False,1,0.35
1936,17792255.0,a few days or more,0.0,0.0,False,1.0,True,True,JacarepaguÃ¡,-22.96862,-43.38558,Entire home/apt,4,2.0,1.0,2.0,2000,1,1109,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1937,13493960.0,unknown,0.0,0.0,False,0.0,True,True,Santa Teresa,-22.91551,-43.18507,Entire home/apt,4,1.0,2.0,2.0,100,3,30,0,8,0,5.0,5.0,5.0,5.0,5.0,5.0,4.88,False,1,0.11
1938,41949143.0,within an hour,0.99,0.37,False,48.0,True,True,Copacabana,-22.96511,-43.19052,Entire home/apt,5,1.0,1.0,3.0,400,2,30,167,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,42,0.04
1939,14388477.0,unknown,0.0,0.0,False,1.0,True,False,Recreio dos Bandeirantes,-23.0281,-43.47439,Entire home/apt,4,1.0,4.0,1.0,1021,30,30,364,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1940,46298890.0,within an hour,1.0,0.97,False,1.0,True,True,Barra da Tijuca,-23.01047,-43.36304,Entire home/apt,5,1.0,1.0,5.0,164,2,1125,186,51,38,4.9,4.96,4.67,4.94,4.92,4.98,4.8,True,1,2.62
1941,2080491.0,within an hour,1.0,0.94,True,2.0,True,True,Copacabana,-22.96627,-43.18667,Entire home/apt,4,2.0,2.0,4.0,260,3,30,157,31,11,4.9,4.97,4.87,5.0,5.0,4.87,4.83,False,2,0.31
1942,2784720.0,unknown,0.0,0.0,False,1.0,True,False,Tijuca,-22.92174,-43.22142,Entire home/apt,4,1.0,2.0,2.0,400,10,30,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1943,9169679.0,within a few hours,1.0,1.0,False,1.0,True,True,Santa Teresa,-22.9156,-43.1875,Entire home/apt,2,1.0,1.0,1.0,111,7,1125,26,16,2,4.75,4.75,4.44,5.0,5.0,4.81,4.44,False,1,0.2
1944,38411728.0,a few days or more,0.33,0.0,False,0.0,True,False,Barra da Tijuca,-23.00529,-43.42923,Entire home/apt,3,2.0,2.0,2.0,120,2,2,9,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.03
1945,11533345.0,unknown,0.0,0.0,False,1.0,True,False,Centro,-22.90597,-43.1734,Entire home/apt,2,1.0,2.0,1.0,1033,3,31,363,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,False,1,0.01
1946,46121308.0,within an hour,1.0,1.0,False,2.0,True,False,Copacabana,-22.9649,-43.19086,Entire home/apt,8,2.0,2.0,3.0,500,1,30,362,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
1947,11861453.0,within a day,0.8,0.77,False,1.0,True,False,Centro,-22.91314,-43.18393,Entire home/apt,7,2.0,3.0,6.0,300,1,1125,48,21,14,4.81,4.95,4.95,4.86,4.95,5.0,4.76,False,1,0.29
1948,15925725.0,within a day,0.9,0.33,False,1.0,True,True,Botafogo,-22.95179,-43.18913,Entire home/apt,4,1.0,1.0,2.0,200,1,1125,168,9,0,5.0,5.0,5.0,4.86,5.0,5.0,5.0,False,1,0.13
1949,39129992.0,a few days or more,0.0,0.0,False,2.0,True,False,Santa Teresa,-22.91539,-43.18284,Entire home/apt,4,1.0,1.0,1.0,350,2,30,87,1,0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,False,1,0.04
1950,4325084.0,unknown,0.0,0.0,False,1.0,True,False,Botafogo,-22.95865,-43.19778,Entire home/apt,6,3.0,3.0,4.0,1549,5,60,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1951,51024672.0,within a few hours,1.0,0.86,False,0.0,True,True,Catete,-22.93176,-43.17925,Entire home/apt,4,1.0,1.0,1.0,250,2,365,128,14,14,4.86,4.93,4.93,5.0,5.0,5.0,4.86,False,1,1.35
1954,54031554.0,within an hour,0.9,0.73,False,1.0,True,True,Barra da Tijuca,-23.00909,-43.42643,Entire home/apt,4,2.0,2.0,3.0,400,1,365,357,8,8,5.0,5.0,4.88,4.88,5.0,5.0,5.0,False,2,1.39
1955,29674806.0,unknown,0.0,0.0,False,1.0,True,False,Barra da Tijuca,-23.00673,-43.32277,Entire home/apt,6,2.0,2.0,6.0,443,3,90,258,3,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,False,1,0.13
1956,10848554.0,within an hour,1.0,1.0,True,1.0,True,True,Laranjeiras,-22.936819,-43.18911,Entire home/apt,4,2.0,2.0,3.0,430,6,365,27,17,5,4.75,4.88,4.13,5.0,5.0,4.81,4.5,True,1,0.22
1959,40305768.0,within a day,0.8,1.0,True,0.0,True,True,Laranjeiras,-22.93581,-43.18038,Entire home/apt,4,1.0,2.0,3.0,420,5,900,280,6,2,5.0,4.83,4.67,5.0,5.0,5.0,4.67,False,1,0.21
1960,48144227.0,within a day,0.5,0.6,False,1.0,True,True,Recreio dos Bandeirantes,-23.0302,-43.47369,Entire home/apt,2,1.0,1.0,2.0,169,1,7,358,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1961,48486237.0,within an hour,0.95,1.0,False,22.0,True,True,Ipanema,-22.9801,-43.20113,Entire home/apt,6,2.5,3.0,5.0,543,3,60,162,19,17,4.42,4.68,4.21,4.79,4.74,4.95,4.37,False,18,1.29
1962,42281672.0,within an hour,1.0,1.0,True,2.0,True,True,Botafogo,-22.95258,-43.19334,Entire home/apt,4,1.0,2.0,2.0,96,3,360,291,40,26,4.95,4.98,4.93,4.93,4.98,5.0,4.9,True,1,1.63
1963,154127.0,within a day,0.5,0.75,False,1.0,True,False,JacarepaguÃ¡,-22.97275,-43.41337,Entire home/apt,4,1.0,2.0,2.0,500,1,730,351,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1964,2283224.0,within an hour,0.93,0.69,True,7.0,True,True,Barra da Tijuca,-23.00854,-43.34519,Entire home/apt,4,1.0,1.0,2.0,360,3,30,363,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,4,0.0
1965,2780963.0,unknown,0.0,0.0,False,1.0,True,False,Vila Isabel,-22.91956,-43.23538,Entire home/apt,6,2.0,3.0,4.0,1629,20,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
1966,5.66e+17,within a few hours,0.97,0.65,True,241.0,True,True,Copacabana,-22.96713,-43.17825,Entire home/apt,6,3.5,3.0,3.0,1884,1,365,285,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,46,0.0
1967,24081491.0,within an hour,1.0,0.97,True,3.0,True,True,Centro,-22.91229,-43.18612,Entire home/apt,2,1.0,1.0,1.0,250,4,1125,331,33,9,5.0,5.0,5.0,4.97,4.97,4.76,4.73,False,2,0.77
1968,5.51e+17,within an hour,1.0,1.0,False,0.0,True,True,Recreio dos Bandeirantes,-23.02813,-43.47838,Entire home/apt,12,4.5,3.0,6.0,829,2,30,347,8,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,2.24
1969,12981007.0,within a day,1.0,0.95,True,1.0,True,True,Barra da Tijuca,-23.01576,-43.3022,Entire home/apt,5,2.0,2.0,4.0,350,2,1125,46,202,48,4.79,4.83,4.7,4.92,4.8,4.97,4.79,False,1,2.83
1970,13998713.0,within an hour,0.99,0.55,False,24.0,True,True,Barra da Tijuca,-23.01041,-43.32048,Entire home/apt,5,1.0,1.0,3.0,295,3,1125,343,2,1,4.0,5.0,4.0,4.0,3.5,5.0,4.5,False,21,0.07
1971,887829.0,within an hour,1.0,1.0,False,2.0,True,True,Santa Teresa,-22.9153,-43.18569,Entire home/apt,4,1.0,1.0,2.0,85,2,250,314,231,52,4.42,4.47,4.25,4.79,4.8,4.67,4.6,True,2,2.04
1972,13975249.0,unknown,0.0,0.0,False,1.0,True,False,JacarepaguÃ¡,-22.96559,-43.41446,Entire home/apt,12,3.0,2.0,6.0,3000,10,25,358,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
1973,33722248.0,within an hour,1.0,0.96,False,1.0,True,False,Botafogo,-22.95255,-43.18981,Entire home/apt,2,1.0,1.0,1.0,154,2,28,55,71,20,4.86,4.93,4.79,4.97,4.97,4.96,4.82,False,1,1.84
